From	To	Species	Gene Name
PRR15L	ENSG00000167183	Homo sapiens	proline rich 15 like(PRR15L)
SLC1A3	ENSG00000079215	Homo sapiens	solute carrier family 1 member 3(SLC1A3)
SPINT2	ENSG00000167642	Homo sapiens	serine peptidase inhibitor, Kunitz type 2(SPINT2)
PAX8	ENSG00000125618	Homo sapiens	paired box 8(PAX8)
EPN3	ENSG00000049283	Homo sapiens	epsin 3(EPN3)
KIF12	ENSG00000136883	Homo sapiens	kinesin family member 12(KIF12)
SPINT1	ENSG00000166145	Homo sapiens	serine peptidase inhibitor, Kunitz type 1(SPINT1)
LYPD6B	ENSG00000150556	Homo sapiens	LY6/PLAUR domain containing 6B(LYPD6B)
HOXC10	ENSG00000180818	Homo sapiens	homeobox C10(HOXC10)
DHRS2	ENSG00000100867	Homo sapiens	dehydrogenase/reductase 2(DHRS2)
KIF1A	ENSG00000130294	Homo sapiens	kinesin family member 1A(KIF1A)
SDC1	ENSG00000115884	Homo sapiens	syndecan 1(SDC1)
CA9	ENSG00000107159	Homo sapiens	carbonic anhydrase 9(CA9)
CLDN1	ENSG00000163347	Homo sapiens	claudin 1(CLDN1)
CLDN2	ENSG00000165376	Homo sapiens	claudin 2(CLDN2)
UBD	ENSG00000213886	Homo sapiens	ubiquitin D(UBD)
CNTN1	ENSG00000018236	Homo sapiens	contactin 1(CNTN1)
TM4SF1	ENSG00000169908	Homo sapiens	transmembrane 4 L six family member 1(TM4SF1)
CA2	ENSG00000104267	Homo sapiens	carbonic anhydrase 2(CA2)
TM4SF4	ENSG00000169903	Homo sapiens	transmembrane 4 L six family member 4(TM4SF4)
TM4SF5	ENSG00000142484	Homo sapiens	transmembrane 4 L six family member 5(TM4SF5)
CRLF1	ENSG00000006016	Homo sapiens	cytokine receptor like factor 1(CRLF1)
EGLN3	ENSG00000129521	Homo sapiens	egl-9 family hypoxia inducible factor 3(EGLN3)
APLP1	ENSG00000105290	Homo sapiens	amyloid beta precursor like protein 1(APLP1)
PRSS8	ENSG00000052344	Homo sapiens	protease, serine 8(PRSS8)
ISLR	ENSG00000129009	Homo sapiens	immunoglobulin superfamily containing leucine rich repeat(ISLR)
RGMA	ENSG00000182175	Homo sapiens	repulsive guidance molecule family member a(RGMA)
LRG1	ENSG00000171236	Homo sapiens	leucine rich alpha-2-glycoprotein 1(LRG1)
CALML3	ENSG00000178363	Homo sapiens	calmodulin like 3(CALML3)
PRSS2	ENSG00000275896	Homo sapiens	protease, serine 2(PRSS2)
SMOC1	ENSG00000198732	Homo sapiens	SPARC related modular calcium binding 1(SMOC1)
RNF128	ENSG00000133135	Homo sapiens	ring finger protein 128, E3 ubiquitin protein ligase(RNF128)
PRSS3	ENSG00000010438	Homo sapiens	protease, serine 3(PRSS3)
CALML5	ENSG00000178372	Homo sapiens	calmodulin like 5(CALML5)
GPNMB	ENSG00000136235	Homo sapiens	glycoprotein nmb(GPNMB)
SCNN1A	ENSG00000111319	Homo sapiens	sodium channel epithelial 1 alpha subunit(SCNN1A)
KLK6	ENSG00000167755	Homo sapiens	kallikrein related peptidase 6(KLK6)
GSTA1	ENSG00000243955	Homo sapiens	glutathione S-transferase alpha 1(GSTA1)
KLK7	ENSG00000169035	Homo sapiens	kallikrein related peptidase 7(KLK7)
KLK8	ENSG00000129455	Homo sapiens	kallikrein related peptidase 8(KLK8)
KLK4	ENSG00000167749	Homo sapiens	kallikrein related peptidase 4(KLK4)
TMC5	ENSG00000103534	Homo sapiens	transmembrane channel like 5(TMC5)
KLK5	ENSG00000167754	Homo sapiens	kallikrein related peptidase 5(KLK5)
TMC4	ENSG00000167608	Homo sapiens	transmembrane channel like 4(TMC4)
RN7SK	ENSG00000202198	Homo sapiens	RNA, 7SK small nuclear(RN7SK)
MAL	ENSG00000172005	Homo sapiens	mal, T-cell differentiation protein(MAL)
C4BPA	ENSG00000123838	Homo sapiens	complement component 4 binding protein alpha(C4BPA)
HID1	ENSG00000167861	Homo sapiens	HID1 domain containing(HID1)
COL5A2	ENSG00000204262	Homo sapiens	collagen type V alpha 2 chain(COL5A2)
COL5A1	ENSG00000130635	Homo sapiens	collagen type V alpha 1 chain(COL5A1)
ID1	ENSG00000125968	Homo sapiens	inhibitor of DNA binding 1, HLH protein(ID1)
VSTM2L	ENSG00000132821	Homo sapiens	V-set and transmembrane domain containing 2 like(VSTM2L)
DSC3	ENSG00000134762	Homo sapiens	desmocollin 3(DSC3)
DSC2	ENSG00000134755	Homo sapiens	desmocollin 2(DSC2)
ID4	ENSG00000172201	Homo sapiens	inhibitor of DNA binding 4, HLH protein(ID4)
GDF15	ENSG00000130513	Homo sapiens	growth differentiation factor 15(GDF15)
CYP3A5	ENSG00000106258	Homo sapiens	cytochrome P450 family 3 subfamily A member 5(CYP3A5)
CADM3	ENSG00000162706	Homo sapiens	cell adhesion molecule 3(CADM3)
PRR15	ENSG00000176532	Homo sapiens	proline rich 15(PRR15)
FST	ENSG00000134363	Homo sapiens	follistatin(FST)
NELL2	ENSG00000184613	Homo sapiens	neural EGFL like 2(NELL2)
CD52	ENSG00000169442	Homo sapiens	CD52 molecule(CD52)
C1QC	ENSG00000159189	Homo sapiens	complement C1q C chain(C1QC)
BBOX1	ENSG00000129151	Homo sapiens	gamma-butyrobetaine hydroxylase 1(BBOX1)
APOD	ENSG00000189058	Homo sapiens	apolipoprotein D(APOD)
APOE	ENSG00000130203	Homo sapiens	apolipoprotein E(APOE)
EIF1AY	ENSG00000198692	Homo sapiens	eukaryotic translation initiation factor 1A, Y-linked(EIF1AY)
CREB3L1	ENSG00000157613	Homo sapiens	cAMP responsive element binding protein 3 like 1(CREB3L1)
COL12A1	ENSG00000111799	Homo sapiens	collagen type XII alpha 1 chain(COL12A1)
RAB25	ENSG00000132698	Homo sapiens	RAB25, member RAS oncogene family(RAB25)
SCD5	ENSG00000145284	Homo sapiens	stearoyl-CoA desaturase 5(SCD5)
COL10A1	ENSG00000123500	Homo sapiens	collagen type X alpha 1 chain(COL10A1)
PRAME	ENSG00000185686	Homo sapiens	preferentially expressed antigen in melanoma(PRAME)
EMX2	ENSG00000170370	Homo sapiens	empty spiracles homeobox 2(EMX2)
KRT13	ENSG00000171401	Homo sapiens	keratin 13(KRT13)
WNK2	ENSG00000165238	Homo sapiens	WNK lysine deficient protein kinase 2(WNK2)
C1QA	ENSG00000173372	Homo sapiens	complement C1q A chain(C1QA)
C1QB	ENSG00000173369	Homo sapiens	complement C1q B chain(C1QB)
KRT19	ENSG00000171345	Homo sapiens	keratin 19(KRT19)
KRT18	ENSG00000111057	Homo sapiens	keratin 18(KRT18)
CD36	ENSG00000135218	Homo sapiens	CD36 molecule(CD36)
KRT17	ENSG00000128422	Homo sapiens	keratin 17(KRT17)
KRT16	ENSG00000186832	Homo sapiens	keratin 16(KRT16)
TACSTD2	ENSG00000184292	Homo sapiens	tumor-associated calcium signal transducer 2(TACSTD2)
SCGB1D2	ENSG00000124935	Homo sapiens	secretoglobin family 1D member 2(SCGB1D2)
KRT14	ENSG00000186847	Homo sapiens	keratin 14(KRT14)
RAB17	ENSG00000124839	Homo sapiens	RAB17, member RAS oncogene family(RAB17)
PLA2G2A	ENSG00000188257	Homo sapiens	phospholipase A2 group IIA(PLA2G2A)
EPS8L2	ENSG00000177106	Homo sapiens	EPS8 like 2(EPS8L2)
CHGB	ENSG00000089199	Homo sapiens	chromogranin B(CHGB)
EPS8L1	ENSG00000131037	Homo sapiens	EPS8 like 1(EPS8L1)
RBP5	ENSG00000139194	Homo sapiens	retinol binding protein 5(RBP5)
RBP4	ENSG00000138207	Homo sapiens	retinol binding protein 4(RBP4)
OLFM4	ENSG00000102837	Homo sapiens	olfactomedin 4(OLFM4)
RBP1	ENSG00000114115	Homo sapiens	retinol binding protein 1(RBP1)
ALDOC	ENSG00000109107	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
ALDOB	ENSG00000136872	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)
MME	ENSG00000196549	Homo sapiens	membrane metalloendopeptidase(MME)
KRT23	ENSG00000108244	Homo sapiens	keratin 23(KRT23)
CRMP1	ENSG00000072832	Homo sapiens	collapsin response mediator protein 1(CRMP1)
C8orf4	ENSG00000176907	Homo sapiens	chromosome 8 open reading frame 4(C8orf4)
RNVU1-18	ENSG00000206737	Homo sapiens	RNA, variant U1 small nuclear 18(RNVU1-18)
OLFM2	ENSG00000105088	Homo sapiens	olfactomedin 2(OLFM2)
OLFM1	ENSG00000130558	Homo sapiens	olfactomedin 1(OLFM1)
KLF5	ENSG00000102554	Homo sapiens	Kruppel like factor 5(KLF5)
MDFI	ENSG00000112559	Homo sapiens	MyoD family inhibitor(MDFI)
PLAT	ENSG00000104368	Homo sapiens	plasminogen activator, tissue type(PLAT)
BHMT2	ENSG00000132840	Homo sapiens	betaine--homocysteine S-methyltransferase 2(BHMT2)
CRIP1	ENSG00000213145	Homo sapiens	cysteine rich protein 1(CRIP1)
CRIP1	ENSG00000257341	Homo sapiens	cysteine rich protein 1(CRIP1)
CHI3L1	ENSG00000133048	Homo sapiens	chitinase 3 like 1(CHI3L1)
CHI3L2	ENSG00000064886	Homo sapiens	chitinase 3 like 2(CHI3L2)
TPD52L1	ENSG00000111907	Homo sapiens	tumor protein D52-like 1(TPD52L1)
MUCL1	ENSG00000172551	Homo sapiens	mucin like 1(MUCL1)
IFI27	ENSG00000165949	Homo sapiens	interferon alpha inducible protein 27(IFI27)
NTRK2	ENSG00000148053	Homo sapiens	neurotrophic receptor tyrosine kinase 2(NTRK2)
HOPX	ENSG00000171476	Homo sapiens	HOP homeobox(HOPX)
RNU1-3	ENSG00000207513	Homo sapiens	RNA, U1 small nuclear 3(RNU1-3)
RNU1-4	ENSG00000207389	Homo sapiens	RNA, U1 small nuclear 4(RNU1-4)
RNU1-1	ENSG00000206652	Homo sapiens	RNA, U1 small nuclear 1(RNU1-1)
PLAU	ENSG00000122861	Homo sapiens	plasminogen activator, urokinase(PLAU)
RNU1-2	ENSG00000207005	Homo sapiens	RNA, U1 small nuclear 2(RNU1-2)
NNMT	ENSG00000166741	Homo sapiens	nicotinamide N-methyltransferase(NNMT)
KCNJ16	ENSG00000153822	Homo sapiens	potassium voltage-gated channel subfamily J member 16(KCNJ16)
KCNJ15	ENSG00000157551	Homo sapiens	potassium voltage-gated channel subfamily J member 15(KCNJ15)
ARSE	ENSG00000157399	Homo sapiens	arylsulfatase E (chondrodysplasia punctata 1)(ARSE)
MYBPC1	ENSG00000196091	Homo sapiens	myosin binding protein C, slow type(MYBPC1)
NPNT	ENSG00000168743	Homo sapiens	nephronectin(NPNT)
FERMT1	ENSG00000101311	Homo sapiens	fermitin family member 1(FERMT1)
GJA1	ENSG00000152661	Homo sapiens	gap junction protein alpha 1(GJA1)
SPINK1	ENSG00000164266	Homo sapiens	serine peptidase inhibitor, Kazal type 1(SPINK1)
ANPEP	ENSG00000166825	Homo sapiens	alanyl aminopeptidase, membrane(ANPEP)
GPX2	ENSG00000176153	Homo sapiens	glutathione peroxidase 2(GPX2)
EFHD1	ENSG00000115468	Homo sapiens	EF-hand domain family member D1(EFHD1)
TMSB15A	ENSG00000158164	Homo sapiens	thymosin beta 15a(TMSB15A)
SAA2	ENSG00000134339	Homo sapiens	serum amyloid A2(SAA2)
PTGES	ENSG00000148344	Homo sapiens	prostaglandin E synthase(PTGES)
SAA1	ENSG00000173432	Homo sapiens	serum amyloid A1(SAA1)
GPX3	ENSG00000211445	Homo sapiens	glutathione peroxidase 3(GPX3)
SEMA3C	ENSG00000075223	Homo sapiens	semaphorin 3C(SEMA3C)
VIL1	ENSG00000127831	Homo sapiens	villin 1(VIL1)
AMBP	ENSG00000106927	Homo sapiens	alpha-1-microglobulin/bikunin precursor(AMBP)
BGN	ENSG00000182492	Homo sapiens	biglycan(BGN)
PTGDS	ENSG00000107317	Homo sapiens	prostaglandin D2 synthase(PTGDS)
ADM	ENSG00000148926	Homo sapiens	adrenomedullin(ADM)
TSTD1	ENSG00000215845	Homo sapiens	thiosulfate sulfurtransferase like domain containing 1(TSTD1)
RPS4Y1	ENSG00000129824	Homo sapiens	ribosomal protein S4, Y-linked 1(RPS4Y1)
SCGB3A1	ENSG00000161055	Homo sapiens	secretoglobin family 3A member 1(SCGB3A1)
FKBP10	ENSG00000141756	Homo sapiens	FK506 binding protein 10(FKBP10)
STEAP1	ENSG00000164647	Homo sapiens	STEAP family member 1(STEAP1)
TG	ENSG00000042832	Homo sapiens	thyroglobulin(TG)
CXCL1	ENSG00000163739	Homo sapiens	C-X-C motif chemokine ligand 1(CXCL1)
MIA	ENSG00000268975	Homo sapiens	melanoma inhibitory activity(MIA)
MIA	ENSG00000261857	Homo sapiens	melanoma inhibitory activity(MIA)
TF	ENSG00000091513	Homo sapiens	transferrin(TF)
CXCL9	ENSG00000138755	Homo sapiens	C-X-C motif chemokine ligand 9(CXCL9)
CXCL8	ENSG00000169429	Homo sapiens	C-X-C motif chemokine ligand 8(CXCL8)
GPM6B	ENSG00000046653	Homo sapiens	glycoprotein M6B(GPM6B)
CTXN1	ENSG00000178531	Homo sapiens	cortexin 1(CTXN1)
ZG16B	ENSG00000162078	Homo sapiens	zymogen granule protein 16B(ZG16B)
DNALI1	ENSG00000163879	Homo sapiens	dynein axonemal light intermediate chain 1(DNALI1)
LY6D	ENSG00000167656	Homo sapiens	lymphocyte antigen 6 complex, locus D(LY6D)
GPM6A	ENSG00000150625	Homo sapiens	glycoprotein M6A(GPM6A)
AGT	ENSG00000135744	Homo sapiens	angiotensinogen(AGT)
FUT3	ENSG00000171124	Homo sapiens	fucosyltransferase 3 (Lewis blood group)(FUT3)
PRAP1	ENSG00000165828	Homo sapiens	proline rich acidic protein 1(PRAP1)
CD24	ENSG00000272398	Homo sapiens	CD24 molecule(CD24)
ETV4	ENSG00000175832	Homo sapiens	ETS variant 4(ETV4)
PLA2G16	ENSG00000176485	Homo sapiens	phospholipase A2 group XVI(PLA2G16)
COX7A1	ENSG00000161281	Homo sapiens	cytochrome c oxidase subunit 7A1(COX7A1)
GJB3	ENSG00000188910	Homo sapiens	gap junction protein beta 3(GJB3)
LY6K	ENSG00000160886	Homo sapiens	lymphocyte antigen 6 complex, locus K(LY6K)
GJB5	ENSG00000189280	Homo sapiens	gap junction protein beta 5(GJB5)
GJB6	ENSG00000121742	Homo sapiens	gap junction protein beta 6(GJB6)
SNORD15B	ENSG00000207445	Homo sapiens	small nucleolar RNA, C/D box 15B(SNORD15B)
GJB1	ENSG00000169562	Homo sapiens	gap junction protein beta 1(GJB1)
SOD3	ENSG00000109610	Homo sapiens	superoxide dismutase 3, extracellular(SOD3)
GJB2	ENSG00000165474	Homo sapiens	gap junction protein beta 2(GJB2)
PROM1	ENSG00000007062	Homo sapiens	prominin 1(PROM1)
FBLN1	ENSG00000077942	Homo sapiens	fibulin 1(FBLN1)
PROM2	ENSG00000155066	Homo sapiens	prominin 2(PROM2)
PHGDH	ENSG00000092621	Homo sapiens	phosphoglycerate dehydrogenase(PHGDH)
TMEM176B	ENSG00000106565	Homo sapiens	transmembrane protein 176B(TMEM176B)
TMEM176A	ENSG00000002933	Homo sapiens	transmembrane protein 176A(TMEM176A)
SLC22A17	ENSG00000092096	Homo sapiens	solute carrier family 22 member 17(SLC22A17)
SEPT3	ENSG00000100167	Homo sapiens	septin 3(SEPT3)
ALDH1L1	ENSG00000144908	Homo sapiens	aldehyde dehydrogenase 1 family member L1(ALDH1L1)
MMP9	ENSG00000100985	Homo sapiens	matrix metallopeptidase 9(MMP9)
MMP7	ENSG00000137673	Homo sapiens	matrix metallopeptidase 7(MMP7)
VTN	ENSG00000109072	Homo sapiens	vitronectin(VTN)
